career,talent,description,Tier
Explorer,Training: Constitution,"Gain +1 Constitution. If you already have 8 Constitution (not counting cybernetic enhancements), you may increase another attribute instead.",7
,,,
Detective,Tracker,"When you attempt to track a person or creature, you gain a +3 Pool Modifier and you gain +2 Vigilance while tracking your target.",0
Detective,Intimidation,"You may attempt a Command d3 check by spending 4 AP against a target in range 10. If you succeed, the target immediately loses 4 AP.",0
Detective,Spy,"When you hide listening bugs or espionage viruses, you gain +3 pool to hide them well.",0
Detective,Fasthack,"When you perform Probed Hacking, you halve the time required.",1
Detective,Thug Language,"If you become threatened or provoked by thugs, bandits or similar scum, you gain +4 pool for any attempts to avoid conflict.",1
Detective,Danger Sense,You convert three dice from your vigilance rolls into expertise dice when you need to perceive danger or threats.,2
Detective,Master Detective,"Once per session, you may produce a clue for a crime scene (or similar) that will help you progress.",2
Detective,Relentless Pursuit,"If you pursue a target that tries to escape, you can spend an edge point and then make a roll on Infiltration, Athletics or Acrobatics to create a shortcut, distraction or other helpful aid to make your pursuit a success.",3
Detective,Blend In,"If you are in a public space among bystanders or crowds, others suffer a -5 pool penalty to notice you.",3
Detective,Training: Personality,"Gain +1 Personality. If you already have 8 Personality (not counting cybernetic enhancements), you may increase another attribute instead.",4
Detective,Demand Obedience,"You may perform a Command d3 check against a neutral NPC or bystander. If you succeed, that NPC will perform one helpful action, plus another action for every surplus success. In combat, you need to spend 6 AP and have a range of 10.",5
Detective,Notorious Liar,Once per day you may declare a lie as being so bullet-proof that no test is necessary to make NPCs believe it.,5
Detective,Blackmail,"Once per session, you may produce blackmail about one NPC and use it against them to coerce them to do something for you.",6
Detective,Martial Artist,"Treat your unarmed attacks like a 2-handed weapon (concerning Heft) and add the Murderous trigger option. Additionally, you can parry real weapons even while being unarmed.",6
Detective,Training: Coolness,"Gain +1 Coolness. If you already have 8 Coolness (not counting cybernetic enhancements), you may increase another attribute instead.",7
,,,
Criminal,Martial Artist,"Treat your unarmed attacks like a 2-handed weapon (concerning Heft) and add the Murderous trigger option. Additionally, you can parry real weapons even while being unarmed.",0
Criminal,Living Shadow,"When you are surrounded by darkness, you gain +1 defense and reduce the difficulty of infiltration and skullduggery tests by 1.",0
Criminal,Blend In,"If you are in a public space among bystanders or crowds, others suffer a -5 pool penalty to notice you.",0
Criminal,Recoil Control,"When shooting in Burst or Full Auto mode, you require 40% less ammo (round up).",1
Criminal,Assassin,"If you attack an unaware target from out of stealth, you can increase the ""Lethal"" quality of your weapon by +6. If it doesn't have it, it gains Lethal (6).",1
Criminal,Lurking Death,"If you incapacitate or kill a target from out of stealth, you may make an Infiltration d3 roll. On a success, you remain stealthed. You may also spend a trigger to immediately hide the body.",2
Criminal,Concealment,"When attempting to hide in a stationary position, or when hiding objects, you gain gain +3 pool. If the thing still gets discovered against your will, you re-gain one edge point.",2
Criminal,Flurry,"You can halve the AP costs of your melee attack (round up), but need to accept a -2 pool penalty.",3
Criminal,Take What's Needed,"After looting an enemy or pickpocketing someone, you can spend Edge points to claim that they had specific items on them which you now possess. The value of the items is 100 Credits per Edge point spent. The GM can refuse this.",3
Criminal,Training: Constitution,"Gain +1 Constitution. If you already have 8 Constitution (not counting cybernetic enhancements), you may increase another attribute instead.",4
Criminal,Ripper,"If you attack an unaware target from out of stealth, you can spend 2 Triggers to immediately make them roll for injury as if they had 0 health. You also bypass their armor. You can spend one additional trigger each to add +3 injury dice.",5
Criminal,Quickfingers,"Gain a +3 pool bonus to pickpocketing or sleight of hand checks, and halve the AP costs to reload pistols, revolvers and MPs (round up).",5
Criminal,Killer Instincts,You gain +1 Heft for your melee attacks.,6
Criminal,Saboteur,"Gain a +3 pool bonus on checks to sabotage equipment or machinery. Sabotaged items malfunction in a specified way, and the malfunction isn't immediately obvious.",6
Criminal,Training: Coolness,"Gain +1 Coolness. If you already have 8 Coolness (not counting cybernetic enhancements), you may increase another attribute instead.",7
,,,
Tactical Enhanced Forces,Cybernetic Maintenance,Reduce the difficulty of tech checks to repair cyberware by 1.,0
Tactical Enhanced Forces,Drug Expert,"If you administer drugs, you may attempt a Medicine d2 check. If you succeed, the target may ignore any draw backs or risks of addiction.",0
Tactical Enhanced Forces,Iron Wall,"After your second parry during the same round, further parry actions cost 1 less AP.",0
Tactical Enhanced Forces,Self-Treatment,You may ignore the penalty to perform First Aid or Surgery on yourself.,1
Tactical Enhanced Forces,Cyberadaption Training,You gain +4 Cyberimmunity.,1
Tactical Enhanced Forces,Malfunction Resilience,"Once per session, you may ignore all Cyber Malfunction symbols of a given injury roll.",2
Tactical Enhanced Forces,Alertness,Doubles the trigger cost of a Riposte against you during a Parry action.,2
Tactical Enhanced Forces,Evasive,"You remove the default -3 pool penalty for your dodge & parry checks, and you can perform one dodge or parry per round for only 1 AP cost instead of 2.",3
Tactical Enhanced Forces,Unkillable Beast,"Reduce the pool of all injury rolls by 4 dice, to a minimum of 1.",3
Tactical Enhanced Forces,Training: Agility,"Gain +1 Agility. If you already have 8 Agility (not counting cybernetic enhancements), you may increase another attribute instead.",4
Tactical Enhanced Forces,Synergetic Installation,All cyberware you install costs 25% less occupation (round down).,5
Tactical Enhanced Forces,Cybernetic Overload,"By spending an edge point you may double the effectiveness of a piece of cyberware in your body for the remainder of the encounter. If used outside of an encounter, the overload lasts for 5 Minutes. When the effect ends, roll once on your cyberware malfunction table.",5
Tactical Enhanced Forces,Dual Wield,"You can perform an attack with two one-handed weapons (or fists) at once. Pay the full AP costs of one weapon, and half the AP costs (round down) of the other. You make two separate attacks.",6
Tactical Enhanced Forces,Rush In,"When you perform a Maneuver action, all ranged attacks against you have +2 difficulty until the rest of the round.",6
Tactical Enhanced Forces,Training: Constitution,"Gain +1 Constitution. If you already have 8 Constitution (not counting cybernetic enhancements), you may increase another attribute instead.",7
,,,
Trader,Vehicle Specialization,"Gain +2 pool when operating a type of vehicle that you need to declare upon obtaining this talent:
Ground Vehicles, Atmospheric Vehicle, Space Ships or Drones.",0
Trader,Connections,"Once per session, you are guaranteed to find a seller / buyer for an item that you want to buy or sell. Only possible when there is reasonable civilization nearby.",0
Trader,Haggler,"Instead of rolling to negotiate, you may reduce the asset / credits cost of all things you buy by a flat 20%.",0
Trader,Astrogation,"When using FTL drives and making a Science check, you may spend one Trigger each to increase the range of the jump by +50%. If you plan to perform several chained jumps, you only make a single roll and apply the bonus to all jumps.",1
Trader,Permit Collection,"Nothing you carry on your ship can be marked as illegal, and you can demand docking rights on any official space port.",1
Trader,First Impression,"If you meet an NPC for the first time, you may attempt an Empathy d3 check.
If you succeed, the NPC will meet you with a friendlier demeanor (which may benefit further social checks).",2
Trader,Linguist,Immediately determine two additional languages which you now speak fluently.,2
Trader,Stock Broker,"As a downtime activity, you can obtain one asset by only spending 1500 Credits. When making one asset fluid, you obtain 1000 Credits instead. Additionally, you may perform 1d6 conversions per downtime instead of just one.",3
Trader,Cash Flow,"After each adventure, you obtain 2d6 * 100 Credits from royalties or dividents.",3
Trader,Training: Education,"Gain +1 Education. If you already have 8 Education (not counting cybernetic enhancements), you may increase another attribute instead. ",4
Trader,Experimental Upgrade,"You may apply a unique upgrade to one of your ship's modules. If the module is ever destroyed or lost, you may create a different, new one as a downtime activity.",5
Trader,White Lies,Everyone who tries to uncover or see through your lies suffers a -3 pool penalty on any test relevant to the lie.,5
Trader,Merchant's Guild,"You treat the rarity of all items as if it was 2 lower, and you gain an additional 10% discount.",6
Trader,Space Port Owner,"You may spend 10 Assets to become a board member of a large space station. All services at that station provide you with a 50% discount, and you generate 3d6 x 100 Credits (or 1d6 Assets) in cash flow after each adventure through dividends.",6
Trader,Training: Personality,"Gain +1 Personality. If you already have 8 Personality (not counting cybernetic enhancements), you may increase another attribute instead.",7
,,,
Diplomat,Diplomatic Immunity,"Once per session, you can make your diplomatic immunity known. Due to the resulting hesitation of enemies, they require +1 success to hit you, and you reduce all injury rolls by 3 dice (to a Minimum of 0).",0
Diplomat,Permit Collection,"Nothing you carry on your ship can be marked as illegal, and you can demand docking rights on any official space port.",0
Diplomat,Police Handler,"Whenever you need to deal with police or other officials, you gain +4 pool on any checks to get away without problems.",0
Diplomat,Motivational Speech,"Once per session, you can spend 30 minutes and make an Empathy d0 check. For each success, you may restore one Edge point among those who observe you - distribute as you like.",1
Diplomat,Linguist,Immediately determine two additional languages which you now speak fluently.,1
Diplomat,Cash Flow,"After each adventure, you obtain 2d6 * 100 Credits from royalties or dividents.",2
Diplomat,First Impression,"If you meet an NPC for the first time, you may attempt an Empathy d3 check.
If you succeed, the NPC will meet you with a friendlier demeanor (which may benefit further social checks).",2
Diplomat,Personal Protection,"Once per adventure, you may demand up to two police officers or similar to accompany you for the duration of a scene. They are obligated to protect you with their life.",3
Diplomat,White Lies,Everyone who tries to uncover or see through your lies suffers a -3 pool penalty on any test relevant to the lie.,3
Diplomat,Training: Personality,"Gain +1 Personality. If you already have 8 Personality (not counting cybernetic enhancements), you may increase another attribute instead.",4
Diplomat,Air Of Authority,"Once per round, at any time, you may lose 2 AP to provide an ally with 3 AP.",5
Diplomat,Seducer,"Once per session, you may use seduction as a component of your Con Arts check - you must announce the use before the roll. If you do, you may re-roll the check once and keep the better result.",5
Diplomat,Blackmail,"Once per session, you may produce blackmail about one NPC and use it against them to coerce them to do something for you.",6
Diplomat,Mind Reader,"Once per session, you may attempt an Empathy d3 check and target an individual. On a success, you get to know the true emotional state and vague intent of that individual. You also get to anticipate their next action.",6
Diplomat,Training: Education,"Gain +1 Education. If you already have 8 Education (not counting cybernetic enhancements), you may increase another attribute instead. ",7
,,,
Bounty Hunter,Tracker,"When you attempt to track a person or creature, you gain a +3 Pool Modifier and you gain +2 Vigilance while tracking your target.",0
Bounty Hunter,Bountyhunter's Guild,"Once per adventure, you may pull a target from the list of wanted individuals. You obtain a target that is close to you, and that yields 1d6 Assets upon execution. You may cooperate on the execution, and any accomplices gain 1 Asset in addition.",0
Bounty Hunter,Far Shot,"Increase the upper ranges (optimal and maximum) of all firearms you use by 30%. When shooting within max range, you suffer -1 pool penalty instead of +1 difficulty. ",0
Bounty Hunter,Assassin,"If you attack an unaware target from out of stealth, you can increase the ""Lethal"" quality of your weapon by +6. If it doesn't have it, it gains Lethal (6).",1
Bounty Hunter,"Breath In, Exhale, Fire","If you can see your target, you can perform this action by spending 3 AP to gain a free success, trigger or complication on your next shot against them.
If you perform any other action in the meantime, the benefit is lost.",1
Bounty Hunter,Relentless Pursuit,"If you pursue a target that tries to escape, you can spend an edge point and then make a roll on Infiltration, Athletics or Acrobatics to create a shortcut, distraction or other helpful aid to make your pursuit a success.",2
Bounty Hunter,Third Wind,"You can use the ""Second Wind"" action up to twice per day, and halve its AP costs.",2
Bounty Hunter,Iron Skin,Gain +1 soak and +4 maximum health.,3
Bounty Hunter,Gun Nut,"The difficulty to modify or repair firearms is reduced by 1.
Additionally, you only need half the usual AP costs to fix minor issues (like jamming) during an encounter.",3
Bounty Hunter,Training: Agility,"Gain +1 Agility. If you already have 8 Agility (not counting cybernetic enhancements), you may increase another attribute instead.",4
Bounty Hunter,Trigger Discipline,"If you successfully attack, you may convert up to 2 surplus successes into one trigger each instead.",5
Bounty Hunter,Tinkerer,"You may declare one personal weapon or armor that gains +1 Mod Slot, and a unique modification that you invented. Due to the quirkiness of the modification, only you can make use of it.",5
Bounty Hunter,Perimeter Scan,"You can spend an hour and make a Sensors d0 roll to scan an compound. For each sucess, you gain one Edge Point that can only be spent on the next scene within that compound. You can spend such Edge Points to produce facts about the compound, e.g. special exits or similar.",6
Bounty Hunter,Gamer Mindset,"When controlling a drone through a VR Headset, reduce the AP cost of all actions by 1 (to a minimum of 2).",6
Bounty Hunter,Training: Intelligence,"Gain +1 Intelligence. If you already have 8 Intelligence (not counting cybernetic enhancements), you may increase another attribute instead.",7
